sentence,course,program
"Application of probability distributions, sampling, confidence intervals, uncertainty, and regression analysis to engineering experiments and design.",ME-236,Mechanical Engineering
"Techniques for measuring common physical quantities such as temperature, pressure, and strain.",ME-236,Mechanical Engineering
High and intermediate temperature systems for conversion of solar energy to mechanical power and heat.,ME-450,Mechanical Engineering
Thermal energy storage and total thermal energy system design.,ME-450,Mechanical Engineering
"Air and water distribution components and systems and the design of these systems with applications to the heating, ventilating and air-conditioning (HVAC) industry.",ME-456,Mechanical Engineering
Material removal manufacturing processes as related to mechanical design.,IME-145,Mechanical Engineering
Manual and computer-controlled (CNC) machining processes and equipment.,IME-145,Mechanical Engineering
"Interpretation of engineering drawings, operation setup, process parameters, inspection of parts.",IME-145,Mechanical Engineering
Manufacturing of standard machine design features.,IME-145,Mechanical Engineering
Design for manufacturing and assembly (DFMA).,IME-145,Mechanical Engineering
Introduction to continuum mechanics.,CE-511,Mechanical Engineering
"Kinematics, stress, and balance laws.",CE-511,Mechanical Engineering
Constitutive theory for isotropic and anisotropic solids and viscous fluids.,CE-511,Mechanical Engineering
"Applications including design of beams and pressure vessels, stress concentrations, fiber-reinforced composites, and non-homogeneous biological materials.",CE-511,Mechanical Engineering
Introduction to continuum mechanics.,ME-501,Mechanical Engineering
"Kinematics, stress, and balance laws.",ME-501,Mechanical Engineering
Constitutive theory for isotropic and anisotropic solids and viscous fluids.,ME-501,Mechanical Engineering
"Applications including design of beams and pressure vessels, stress concentrations, fiber-reinforced composites, and non-homogeneous biological materials.",ME-501,Mechanical Engineering
Introduction to mechanical engineering and its application in professional practice.,ME-128,Mechanical Engineering
"Includes design, analysis, testing and dissection of mechanical engineering systems, from simple machines to more complicated systems.",ME-128,Mechanical Engineering
Introduction to engineering graphic communication.,ME-128,Mechanical Engineering
"Introduction to HVAC, Manufacturing and Mechatronics concentrations.",ME-128,Mechanical Engineering
Includes cornerstone service learning project.,ME-128,Mechanical Engineering
"Overview of the roles of the Heating, Ventilating, Air-Conditioning and Refrigeration (HVAC&R) industry.",ME-453,Mechanical Engineering
"Presentation of state-of-the-art HVAC&R systems, components and design solutions.",ME-453,Mechanical Engineering
Includes guest speakers from HVAC&R industry.,ME-453,Mechanical Engineering
"Principal elements of pressurized water reactor nuclear power systems; overview of reactor physics, thermodynamics, and heat transfer; includes basic reactor physics, reactor heat generation, reactor plant systems, support systems, and reactor safety.",ME-438,Mechanical Engineering
"Design of single track vehicles, including handling characteristics, ergonomics and human power, strength and stiffness considerations, braking and suspension.",ME-441,Mechanical Engineering
Conservation equations of fluid dynamics.,ME-347,Mechanical Engineering
"Viscous flow, boundary layer concepts, lift and drag, compressible flow, turbomachinery.",ME-347,Mechanical Engineering
Design of thermal systems.,ME-448,Mechanical Engineering
"Engineering economics, thermal component sizing, and simulation techniques applied to the design and performance analysis of thermal systems.",ME-448,Mechanical Engineering
Unified approach for mathematical modeling and numerical analysis of dynamic physical systems that store energy in multiple domains.,ME-322,Mechanical Engineering
Emphasis on developing lumped-parameter linear models from primitive elements in a systematic manner.,ME-322,Mechanical Engineering
Vibrations relating to rotating machinery.,ME-518,Mechanical Engineering
"Modeling of structural rotordynamic phenomena induced by shaft flexibility, bearings, and seals.",ME-518,Mechanical Engineering
Research project on a related topic.,ME-518,Mechanical Engineering
"Building heating and cooling load calculations, estimating energy consumption and operating costs for heating, ventilating and air-conditioning system design and selection.",ME-458,Mechanical Engineering
Continuation of work begun in ME 459.,ME-460,Mechanical Engineering
"Team project designing heating, ventilating and air-conditioning (HVAC) systems.",ME-460,Mechanical Engineering
"Communication of designs for manufacturing using basic definitions of points, lines and planes in space.",ME-129,Mechanical Engineering
"Pictorials, orthographic projection, section views and auxiliary views.",ME-129,Mechanical Engineering
Techniques from geometry and spatial definitions integrated to provide information to both the design and manufacturing processes.,ME-129,Mechanical Engineering
"Engineering aspects of windpower systems including mechanical design, support structure design, aerodynamic analysis, wind field analysis, system concepts and analysis, and economics.",ME-488,Mechanical Engineering
Application of principles of high-level design to mechanical control system implementation.,ME-507,Mechanical Engineering
Use of modified state transition logic in conjunction with object-oriented programming as design methodology.,ME-507,Mechanical Engineering
Real-time programming using above techniques for control of mechanical systems.,ME-507,Mechanical Engineering
"Design, analysis, and control of fluid power systems.",ME-579,Mechanical Engineering
"Analysis of fluid power system components such as valves, actuators, pumps and motors.",ME-579,Mechanical Engineering
System response and stability.,ME-579,Mechanical Engineering
"Selected modern applications of thermodynamics which may include topics from:  1) equilibrium and kinetics as applied to combustion and air pollution, analysis and evaluation of techniques used to predict properties of gases and liquids, and 2) improvement of modern thermodynamic cycles by second law analysis.",ME-541,Mechanical Engineering
Graphical synthesis and analysis of mechanisms and machines.,ME-442,Mechanical Engineering
"Analytical fundamentals for study of displacements, velocities, accelerations, and static and dynamic forces necessary for design of planar linkages and gearing systems.",ME-442,Mechanical Engineering
Creative design projects using software simulation tools.,ME-442,Mechanical Engineering
Group research experience in microbiology through participation in a faculty-student research project.,MCRO-100,Microbiology
Intended for freshmen and sophomores with no research experience.,MCRO-100,Microbiology
Preparation and performance of vocal and instrumental music written with piano accompaniment.,MU-168,Music
Choral rehearsal accompanist techniques.,MU-168,Music
Open to students who are proficient on piano at a collegiate level.,MU-168,Music
Open to qualified singers.,MU-383,Music
Rehearsal and performance of specialized vocal music.,MU-383,Music
Study and public performance of music written for wind band with limited doubling and flexible instrumentation.,MU-373,Music
"Open to all students who perform on woodwind, brass and percussion instruments on an advanced collegiate level.",MU-373,Music
Study and public performance of music written for large wind band.,MU-372,Music
"Open to all qualified students who perform on woodwind, brass and percussion instruments.",MU-372,Music
Counterpoint as a compositional technique.,MU-301,Music
"Modal, tonal, and post-tonal practices.",MU-301,Music
Composition project.,MU-301,Music
Survey of the history of western art music from 1600 to 1780.,MU-332,Music
Survey of choral literature especially suited for secondary schools.,MU-465,Music
Philosophy and strategy for developing a school program.,MU-465,Music
Musical as well as non-musical techniques for effective rehearsal.,MU-465,Music
"Construction and resolution of diatonic seventh chords, secondary dominants, augmented sixth, and Neapolitan chords.",MU-105,Music
Modal mixture and modulation to closely-related keys.,MU-105,Music
"Binary, ternary, and variation forms.",MU-105,Music
Introduction to 18th-century counterpoint.,MU-105,Music
Composition project.,MU-105,Music
"Advanced study and public performance of music for small ensemble.This ensemble focuses on music of the Renaissance, Baroque and Modern Eras.",MU-186,Music
"A variety of styles of choral literature, specifically intended for a small performing ensemble, is explored.",MU-186,Music
Study and public performance of music written for large wind band.,MU-172,Music
"Open to all qualified students who perform on woodwind, brass, and percussion instruments.",MU-172,Music
Rehearsal and performance of instrumental and vocal repertoire drawn from art and popular music of wide-ranging Arabic-speaking societies and historically related cultures.,MU-188,Music
"Accompanying music theories, instrumental techniques, and performance practices, with presentation of seminal works in public concerts.",MU-188,Music
Advanced study and public performance of music for small ensemble.,MU-386,Music
"This ensemble focuses on music of the Renaissance, Baroque and Modern Eras.",MU-386,Music
"A variety of styles of choral literature, specifically intended for a small performing ensemble, is explored.",MU-386,Music
"Ranges, transposition, technical capabilities, and scoring of vocal ensembles, band, and orchestra instruments.",MU-352,Music
Creative project.,MU-352,Music
"Faculty-supervised small ensembles (e.g., string quartets, brass quintets), as permitted by departmental staffing.",MU-171,Music
"Performances take place in student recitals, large-ensemble concerts, and/or other university events.",MU-171,Music
Open to students concurrently participating in large ensembles.,MU-171,Music
Interested students should contact instrumental ensemble directors.,MU-171,Music
Study and public performance of music written for wind bands with limited doubling and flexible instrumentation.,MU-173,Music
"Open to all students who perform on woodwind, brass and percussion instruments on an advanced collegiate level.",MU-173,Music
Advanced study and public performance of music for mixed chorus.,MU-381,Music
Rehearsal and public performance of jazz big band repertoire.,MU-370,Music
"Open to qualified students who sing or play trumpet, trombone, saxophone, piano, guitar, vibes, bass, drums, or congas.",MU-370,Music
"Survey of instrumental literature written for orchestras, bands, solo instrument, and chamber ensembles.",MU-466,Music
"Philosophy and strategy necessary for developing a professional, semi-professional, or school instrumental music program.",MU-466,Music
Musical as well as non-musical techniques for effective rehearsal.,MU-466,Music
Survey of the history of western art music from 1780 to 1900.,MU-431,Music
Continuation of MU 340.,MU-341,Music
Emphasis on choral literature.,MU-341,Music
"Score reading, rehearsal techniques, and musical details associated with vocal music.",MU-341,Music
"Preparation and performance of orchestral music, including both standard repertoire and current works in various genres.",MU-374,Music
"Open to all qualified students who perform on string, woodwind, brass, and percussion instruments.",MU-374,Music
Study and public performance of music for large mixed chorus.,MU-385,Music
"Individual instruction in performance with emphasis on repertoire, technical skills, style, and interpretation.",MU-150,Music
Continuation of MU 340.,MU-342,Music
Emphasis on band and orchestra literature.,MU-342,Music
"Score reading, rehearsal techniques, and musical details associated with instrumental music.",MU-342,Music
"Study and public performance of chamber music written for woodwinds, brass, or percussion.",MU-377,Music
Open to all instrumentalists who have college level performance experience.,MU-377,Music
"Faculty-supervised small ensembles (e.g., string quartets, brass quintets), as permitted by departmental staffing.",MU-371,Music
"Performances take place in student recitals, large-ensemble concerts, and/or other university events.",MU-371,Music
Open to students concurrently participating in large ensembles.,MU-371,Music
Interested students should contact instrumental ensemble directors.,MU-371,Music
Individual instruction in performance and composition.,MU-350,Music
One- and two-part sightsinging and melodic dictation; alto and tenor clefs; one- and two-part rhythmic performance and dictation including syncopation and triplets; harmonic dictation including diatonic triads in all inversions and dominant and supertonic seventh chords; identification of phrase structure.,MU-108,Music
"Study and public performance of chamber music written for woodwinds, brass, or percussion.",MU-177,Music
Open to all instrumentalists who have high school or college level performance experience.,MU-177,Music
"Intensive study of selected topics in music history through the use of readings, recordings, scores, and class presentations.",MU-470,Music
Principles and techniques of conducting with experience in score reading.,MU-340,Music
Selection and completion of a project under faculty supervision.,MU-461,Music
"Results presented in a recital, creative work, formal report, or a combination of all three.",MU-461,Music
Individual instruction in performance and composition.,MU-450,Music
"Individual instruction in performance with emphasis on repertoire, technical skills, style, and interpretation.",MU-250,Music
Development of skills for fostering creative music experiences in the classroom.,MU-360,Music
Exploration of various approaches to motivating children musically.,MU-360,Music
"Study of folk songs for singing, playing instruments, and learning about music as well as for their ethnic and cultural significance.",MU-360,Music
Rehearsal and public performance of jazz big band repertoire.,MU-170,Music
"Open to qualified students who sing or who play trumpet, trombone, saxophone, piano, guitar, vibes, bass, drums, or congas.",MU-170,Music
"Musical literature, styles, composers, theory, genres and notation of the Middle Ages and Renaissance.",MU-331,Music
Relationship to historical trends.,MU-331,Music
Production of electroacoustic music in media.,MU-412,Music
"Program analysis, technical planning, composition, and product development.",MU-412,Music
"Preparation and performance of orchestral music, including both standard repertoire and current works in various genres.",MU-174,Music
"Open to all qualified students who perform on string, woodwind, brass, and percussion instruments.",MU-174,Music
Open to qualified singers.,MU-183,Music
Rehearsal and performance of specialized vocal music.,MU-183,Music
Preparation and performance of vocal and instrumental music written with piano accompaniment.,MU-368,Music
Choral rehearsal accompanist techniques.,MU-368,Music
Open to students who are proficient on piano at a collegiate level.,MU-368,Music
"Examination of 20th- and 21st-century compositional practices including impressionism, developments in rhythm, polytonality, non-serial atonality, serialism, timbre and form, neoclassicism, minimalism, and the new eclecticism.",MU-305,Music
Analysis and creative projects.,MU-305,Music
"Sightsinging and dictation in major and minor modes; performance and dictation of one- and two-part rhythms in simple and compound meters; syncopation; identification of compound intervals, triad inversions, and cadence types; harmonic dictation using diatonic root-position triads and the dominant seventh.",MU-106,Music
Introductory sightsinging in the major mode; rhythmic performance and dictation in simple and compound meters; identification and performance of melodic and harmonic intervals and triads; dictation of major diatonic melodies and chord progressions using the primary triads.,MU-104,Music
Advanced study and public performance of music for mixed chorus.,MU-181,Music
Rehearsal and performance of instrumental and vocal repertoire drawn from art and popular music of wide-ranging Arabic-speaking societies and historically related cultures.,MU-388,Music
"Accompanying music theories, instrumental techniques, and performance practices, with presentation of seminal works in public concerts.",MU-388,Music
Study and public performance of music for large mixed chorus.,MU-185,Music
"Composers, important works, and significant trends in the Western European and American classical tradition during the 20th and 21st Centuries.",MU-432,Music
"Introduction to species counterpoint, structure of tonality, four-part writing of root position and inverted triads, dominant seventh chord, phrase structure, harmonic progressions, harmonization of a melody and nonharmonic tones.",MU-103,Music
Composition project.,MU-103,Music
"Methodology for researching, analyzing, and writing about music.",MU-320,Music
"Exploration of investigative tools including library resources, periodicals, bibliographic tools, computerized search methods.",MU-320,Music
Performance practice.,MU-320,Music
Compositional procedures employed by composers of the Classical and Romantic periods.,MU-303,Music
"Chromatic third-related harmony, linear chromaticism, and extended tertian chords.",MU-303,Music
Chromatic and enharmonic modulation to distantly-related keys.,MU-303,Music
Sonata and rondo forms.,MU-303,Music
Composition project.,MU-303,Music
An introduction to working in clinical nutrition.,FSN-431,Nutrition
"Topics include the Nutrition Care Process and the specialized practices of medical nutrition therapy documentation, nutrition assessment, and formulating a nutrition diagnosis.",FSN-431,Nutrition
Selection of scientific research topic in major area.,FSN-461,Nutrition
"Development of literature review, research questions in Senior Project I.",FSN-461,Nutrition
"Research design, data collection, and analysis in Senior Project II.",FSN-461,Nutrition
Project requires a formal report which must follow departmental guidelines.,FSN-461,Nutrition
Structured observational experiences for pre-health students at the County Health Agency.,SCM-363,Nutrition
"Designed to promote awareness and understanding of public health careers, as well as provide practical experience.",SCM-363,Nutrition
Limited space availability.,SCM-363,Nutrition
Application process for enrollment available from CSM Advising Office.,SCM-363,Nutrition
Theory and application of chemical equilibrium to analytical problems.,CHEM-231,Nutrition
Survey of important analytical methods with stress placed on the theory and application associated with titrimetric and spectrophotometric analysis.,CHEM-231,Nutrition
"Metabolism of carbohydrates, fats, and proteins as it applies to human nutrition.",FSN-331,Nutrition
Integration and regulation of metabolic pathways.,FSN-331,Nutrition
Introduction to health profession careers.,SCM-101,Nutrition
Professionals from within the health care industry provide an overview of their careers.,SCM-101,Nutrition
"Emphasis on creating a pre-health career plan, academic course selection, obtaining appropriate experiences, and elements of a strong professional application.",SCM-101,Nutrition
Intended for students undecided about their health professions career choice.,SCM-101,Nutrition
Continuation of FSN 331.,FSN-332,Nutrition
"Biochemical, molecular, and physiological functions of vitamins and minerals and their interaction with other nutrients.",FSN-332,Nutrition
"Application of the nutrition care process to physiological disorders which may alter nutritional requirements and require dietary modifications for:  Diabetes Mellitus, enteral and parenteral nutrition, anemias, acid-base conditions, cardiovascular disease, obesity, and upper and lower GI diseases.",FSN-432,Nutrition
"Advanced topics in sports nutrition and interaction of exercise and nutrition, including classic and recent findings related to mechanisms of nutrient effects on exercise performance, metabolism, muscle physiology, body composition, and health.",FSN-405,Nutrition
Nutrition research terminology and methods.,FSN-381,Nutrition
Critical evaluation and interpretation of nutrition research with emphasis on human studies of diet-health relationships.,FSN-381,Nutrition
Evidence based review.,FSN-381,Nutrition
"Communication, behavioral, and counseling theories as they relate to nutrition counseling.",FSN-417,Nutrition
Emphasis on development of skills to promote healthy eating behaviors.,FSN-417,Nutrition
"Examination of eating disorders and obesity, including preventative and therapeutic interventions.",FSN-417,Nutrition
"Application of biochemical, absorptiometry, calorimetry, and other methods to assess health indicators and nutritional status.",FSN-333,Nutrition
Continuation of Medical Nutrition Therapy series.,FSN-433,Nutrition
"Application of the nutrition care process to diseases and disorders including hepatobiliary, pancreatic, renal, and respiratory diseases, metabolic stress, trauma, burns, cancer, and metabolic disorders.",FSN-433,Nutrition
"Exploration of students' transition to professional practice, career opportunities, and factors to be considered in career decisions.",FSN-463,Nutrition
"Application of strategic planning, critical thinking, written and oral communication skills in preparation for nutrition and dietetics professions.",FSN-463,Nutrition
Introduction to writing in nutrition science.,FSN-281,Nutrition
"Foundations in scientific writing processes, scientific reading, literature review, reference management.",FSN-281,Nutrition
"Emphasis on identifying and summarizing reliable sources, analyzing the audience, and revising for complexity and depth.",FSN-281,Nutrition
"Selection, initial development, and formulation of a research plan for a project conducted under faculty supervision.",PHIL-460,Philosophy
Development of Western philosophy and science in the Hellenistic and Roman periods.,PHIL-310,Philosophy
"Aristotle, Epicureanism, Stoicism, Skepticism.",PHIL-310,Philosophy
Methods and uses of phenomenological analysis through study of 20th century philosophers and contemporary applications.,PHIL-318,Philosophy
"Topics include phenomenological method, perception, meaning, and the role of experience in philosophical inquiry.",PHIL-318,Philosophy
Beginnings of Western philosophy and science in Ancient Greece.,PHIL-309,Philosophy
"The Presocratics, Socrates, and Plato.",PHIL-309,Philosophy
"Development of Western philosophy from the Renaissance through Mill, with special emphasis on British Empiricism.",PHIL-314,Philosophy
Preparation for competition in the Intercollegiate Ethics Bowl.,PHIL-285,Philosophy
"Rules and format of competition, analysis and preparation of cases specific to the current year's competition.",PHIL-285,Philosophy
Coverage of ethical theory relevant to current cases.,PHIL-285,Philosophy
"Traditional and current ideas and arguments about substance, the relation of universals to particulars, space and time, events, causation and necessity, the self and free will.",PHIL-411,Philosophy
Preparation for ongoing participation in Intercollegiate Ethics Bowl competitions.,PHIL-385,Philosophy
"Preparation and discussion of current competition cases, development of research and presentation skills, and participation in competition.",PHIL-385,Philosophy
"Major existentialist philosophers of the 19th and 20th century such as Kierkegaard, Nietzsche, Heidegger, Sartre, de Beauvoir, Merleau-Ponty, and Marcel.",PHIL-319,Philosophy
Existentialist themes in historical or contemporary context.,PHIL-319,Philosophy
"Principles of argument analysis, evaluation and construction.",PHIL-126,Philosophy
"Deductive and inductive reasoning, including analogical arguments, universal and statistical generalizations, and causal inferences.",PHIL-126,Philosophy
Principles of organizing and writing argumentative essays.,PHIL-126,Philosophy
Moral dimensions of rational discourse.,PHIL-126,Philosophy
"Major developments within 20th century British and American philosophy, with focus chiefly around Analytic philosophy.",PHIL-317,Philosophy
"Other schools, such as Pragmatism, may be included, as may some philosophers outside of Britain and America whose work was influential in those countries.",PHIL-317,Philosophy
Development and completion of a research project under faculty supervision.,PHIL-461,Philosophy
Results presented in a formal thesis.,PHIL-461,Philosophy
"Library research training, and group and individual discussion of formulation of research plan for senior project.",PHIL-459,Philosophy
"Moral problems as they arise in professions such as law, medicine, engineering, research and education:  deception, paternalism, confidentiality, discrimination and others.",PHIL-341,Philosophy
Consideration of various professional codes of ethics.,PHIL-341,Philosophy
The nature of deductive logical systems.,PHIL-241,Philosophy
"Methods of notation, translation and proof in sentential and predicate calculi including truth-trees and natural deduction systems.",PHIL-241,Philosophy
Introduction to meta-theory.,PHIL-241,Philosophy
"Foundational methods and central issues in contemporary philosophy including logic, epistemology, metaphysics and ethics.",PHIL-101,Philosophy
Advising and orientation to the Philosophy major for freshmen in their first quarter at Cal Poly.,PHIL-101,Philosophy
Investigation of the philosophical foundations and interpretation of relativity theory and elementary quantum mechanics.,PHIL-421,Physics
Emphasis on philosophical issues relevant to contemporary philosophy of science such as scientific realism.,PHIL-421,Physics
"Some discussion of very recent theories of space, time, and matter.",PHIL-421,Physics
"Introduction to the mathematical techniques of theoretical physics with applications from classical mechanics, optics, electromagnetism and quantum mechanics.",PHYS-320,Physics
Maxwell's equations and vector calculus.,PHYS-320,Physics
"Waves, the wave equation and Fourier analysis.",PHYS-320,Physics
Green's functions.,PHYS-320,Physics
Physics applications of complex contour integration and series.,PHYS-320,Physics
Advanced experimental studies of quantum properties of atoms and nuclei.,PHYS-342,Physics
"Interactions of radiation, particles and fields emphasizing spectroscopic techniques.",PHYS-342,Physics
Introduction to observational astronomy.,ASTR-444,Physics
"Coordinate systems, telescopes and observational instruments (CCDs, filters, spectrographs), observational methods and techniques, data reduction and analysis.",ASTR-444,Physics
L-R-C circuits and electronic circuit elements emphasizing the applications of analog and digital electronics to instrumentation in modern physics.,PHYS-206,Physics
"Advanced analog and digital electronics, computer interfacing to experiments, robotics.",PHYS-357,Physics
"Introduction to using computers for solving problems in physics:  differential equations, matrix manipulations, simulations and numerical techniques, nonlinear dynamics.",PHYS-202,Physics
Continuing study of the mathematical techniques of theoretical physics.,PHYS-321,Physics
"Methods for solving differential equations in classical mechanics, electromagnetism and quantum mechanics.",PHYS-321,Physics
"Problems involving the heat equation, the wave equation and the Schroedinger equation in one, two and three dimensions.",PHYS-321,Physics
"Survey of data analysis in political science, up to and including multiple regression.",POLS-361,Political Science
Software instruction to facilitate understanding of quantitative approaches to political research.,POLS-361,Political Science
Introduction to political communication.,POLS-435,Political Science
"Concepts, theories and methods from areas such as communication, media studies, journalism, political science, and public policy.",POLS-435,Political Science
"How language and non-verbal communication used by the media, government, and other actors shapes public perception of and behavior in the social, political, and scientific world.",POLS-435,Political Science
Different approaches to US feminist legal theory and topics in gender and US law.,POLS-417,Political Science
"Topics covered include employment, domestic violence, sexual harassment, reproductive justice, sex work, rape, and welfare reform.",POLS-417,Political Science
Selection and completion of a project under faculty supervision.,POLS-461,Political Science
Project results presented in a formal paper.,POLS-461,Political Science
"Introduction to evidence, trial procedure, objections, and witness examination.",POLS-295,Political Science
Preparation for intercollegiate mock trial competitions (held in winter and spring).,POLS-295,Political Science
"Extensive hands-on experience in researching, preparing, and arguing a legal case.",POLS-295,Political Science
Selected topics and issues in the field of comparative politics.,POLS-428,Political Science
Selection and completion of a project under faculty supervision.,POLS-462,Political Science
Project results presented in a formal paper.,POLS-462,Political Science
Methodology and research design used in qualitative and quantitative analysis.,POLS-359,Political Science
Examination of multiple methods used to analyze political phenomena in the political science discipline.,POLS-359,Political Science
"Examination of the causes and effects of corruption in the United States and around the world, and the problems corruption causes in different societies.",POLS-425,Political Science
Particular attention will be placed on the role of political and social institutions.,POLS-425,Political Science
"Experiential, project-based course where students will draft a bill and work to move it through the California Legislature toward becoming law.",POLS-440,Political Science
"Introduction to the scope, language, concepts and approaches employed in political science and the social sciences.",POLS-180,Political Science
"Includes emphasis on basic methodological and research strategies for assessing political issues, and an overview of the subfields of political science.",POLS-180,Political Science
Introduction to political theory.,POLS-230,Political Science
"Focuses on concepts like: authority, liberty, equality, law, justice, community, rights, citizenship, property, class conflict, and constitutionalism.",POLS-230,Political Science
"Readings from major thinkers, such as Plato, Aristotle, Augustine, Aquinas, Machiavelli, Locke, Hobbes, Rousseau, Marx, Nietzsche, Rawls, and others.",POLS-230,Political Science
Introduction to the United Nations and major issues that confront it.,POLS-285,Political Science
Preparation for participation in collegiate Model United Nations conferences.,POLS-285,Political Science
"Rules of procedure and debate, preparation of country position papers, and resolution writing.",POLS-285,Political Science
"Survey of cultural, historic, institutional, and social contexts of legal traditions.",POLS-384,Political Science
"Emphasis on comparing western common and code law to Confucian, Islamic, indigenous and other nonwestern societies.",POLS-384,Political Science
"Comparative topics may include prison reform, property rights, constitutional law, international law, rule of law, and the judicialization of politics.",POLS-384,Political Science
"Systematic analysis of the international and domestic pressures leading different states to take particular foreign policy stances, with appropriate examples taken from different regions of the world.",POLS-382,Political Science
Discussion of contemporary foreign policy issues and responses.,POLS-382,Political Science
Selected topics and issues in the field of American politics.,POLS-431,Political Science
"Focus on contemporary political campaigns and elections in the U.S.  Campaign management, message development and delivery.",POLS-317,Political Science
"Impact of political ideology, mass media, technology, pressure groups on electoral outcomes.",POLS-317,Political Science
Apply contemporary public relations theory to turn crisis into opportunity.,JOUR-412,Public Health
Analyze Homeland Security and FEMA best practices using public relations framework and strategy.,JOUR-412,Public Health
"Practical exercises in planning, implementing, and evaluating public relations messages in a variety of media platforms.",JOUR-412,Public Health
"Applied and project-based culminating experience in planning, implementing, and evaluating a campus, community, or worksite health promotion program under faculty supervision.",HLTH-460,Public Health
"Application of epidemiologic principles and methods to the study of distribution and determinants of disease outcomes, identifying sources of systematic and random error, causal inference, presentation and interpretation of epidemiologic data.",HLTH-318,Public Health
Replaced HLTH 299.,HLTH-318,Public Health
"Introduction to individual research, studies, or surveys of selected problems.",HLTH-201,Public Health
Intended for students in Kinesiology and in Public Health.,HLTH-201,Public Health
Introduction to scientific bases of exercise and sport including concepts associated with health-related components of fitness.,KINE-240,Public Health
"Development of medical vocabulary used in health care occupations, through the study of root words, prefixes, suffixes, and case studies.",HLTH-297,Public Health
"Pronunciation, spelling, and use of medical terms and abbreviations related to diagnosis, clinical procedures, surgery, and anatomical and physiological systems.",HLTH-297,Public Health
Course offered online only.,HLTH-297,Public Health
"Quantitative and qualitative research approaches and methods in public health settings, with particular emphasis on social and behavioral sciences.",HLTH-402,Public Health
"Implementation and evaluation of health promotion programs in school, community, medical, public health, worksite, and college/university settings.",HLTH-435,Public Health
"Planning the intervention design, implementation and evaluation protocols including process, impact and outcome assessments.",HLTH-435,Public Health
"Implementation and evaluation of health promotion programs in school, community, medical, public health, worksite, and college/university settings.",KINE-435,Public Health
"Planning the intervention design, implementation and evaluation protocols including process, impact and outcome assessments.",KINE-435,Public Health
"Class practice and assigned outside work in pronunciation, sentence structure, reading, writing, and conversation.",SPAN-104,Public Health
Language taught in its intercultural context.,SPAN-104,Public Health
Offered in summer only.,SPAN-104,Public Health
Orientation to the public health discipline.,HLTH-101,Public Health
"Advising, introduction to the faculty, department and campus resources to facilitate student success; extracurricular and research opportunities, careers and current topics in public health.",HLTH-101,Public Health
"Examination of potential injuries in workplace, school, home, recreation and transportation settings.",HLTH-310,Public Health
Strategies for prevention of unintentional injuries due to sudden and chronic loading on various structures in the human body.,HLTH-310,Public Health
Study of the design of cities for walking and bicycling and its importance to the future of transportation and the resilience of cities.,CRP-325,Public Health
"Reflection on how bicycles and pedestrians shape the urban environment through literature, music, policy, and design practices.",CRP-325,Public Health
"Individual investigation, research, studies, or surveys of selected problems.",HLTH-400,Public Health
Discussion of occupational and graduate school opportunities and current issues in psychology for the purpose of defining professional objectives and individual projects for PSY 462.,PSY-461,Psychology
Preparation for Senior Project by developing an annotated bibliography that will inform the organization and direction of their project.,PSY-461,Psychology
Orientation to the psychology major and psychology as a career.,PSY-102,Psychology
"Introduction to requirements of the major, available resources, strategies for academic success, and career options in psychology and related fields.",PSY-102,Psychology
"Supervised fieldwork experience in various community, governmental, and educational settings.",PSY-454,Psychology
"Applied psychological, developmental, or educational experiences determined by participating institution, supervising faculty member, and student.",PSY-454,Psychology
Design and completion of a faculty-supervised project in psychology.,PSY-462,Psychology
"The project must be presented in a formal, written report.",PSY-462,Psychology
Faculty-supervised research experience on various topics in psychology.,PSY-449,Psychology
Student apprenticeship with a department faculty member to conduct research.,PSY-449,Psychology
"Responsibilities include some or all of the following:  collecting data, entering and/or analyzing data, electronic literature search, report writing.",PSY-449,Psychology
Modern principles and theories of memory from a psychological and biological perspective.,PSY-440,Psychology
"Discussion of different types of memory (e.g., short-term, episodic, semantic, implicit), variables that affect memory (e.g., emotion, stress, sleep), and real-life applications (e.g., disorders, eyewitness testimony).",PSY-440,Psychology
"Principles of sensory systems, psychophysics, attention and the perception of color, shape, movement, space, and time.",PSY-430,Psychology
Survey of the development of perception through the lifespan.,PSY-430,Psychology
Introduction to the fields of clinical and counseling psychology.,PSY-370,Psychology
"History, education and training, theories, assessment, diagnosis, and treatment.",PSY-370,Psychology
"Introduction to diverse settings, ethical principles, legal guidelines, credentialing and employment opportunities.",PSY-370,Psychology
"Supervised fieldwork experience in various community, governmental, and educational settings.",PSY-453,Psychology
"Applied psychological, developmental, or educational experiences determined by participating institution, supervising faculty member, and student.",PSY-453,Psychology
Faculty-supervised research experience on various topics in psychology.,PSY-448,Psychology
Student apprenticeship with a department faculty member to conduct research.,PSY-448,Psychology
"Responsibilities include some or all of the following:  collecting data, entering and/or analyzing data, electronic literature search, report writing.",PSY-448,Psychology
"Legislative and legal aspects of public, private, commercial, and non-profit experience industry organizations.",RPTA-342,"Recreation, Parks, and Tourism Administration"
"Emphasis on risk management, including liability, insurance, and negligence.",RPTA-342,"Recreation, Parks, and Tourism Administration"
Understanding of legal foundations and the legislative process.,RPTA-342,"Recreation, Parks, and Tourism Administration"
Comprehensive involvement in organization's programs and services.,RPTA-465,"Recreation, Parks, and Tourism Administration"
Interpretation of data and metrics used in the experience industry.,RPTA-416,"Recreation, Parks, and Tourism Administration"
